axis_level,method,n_tau,crps,crps_analytic_gaussian
5,kriging,199,1.000295007169594,
5,sgs,199,1.051605399274354,1.0515754862914692
5,rbf_bootstrap,199,1.28952110298862,1.2893812935437792
5,gp_mle,199,1.0157823972557813,1.0157566824806334
5,kriging,99,1.0003677525767996,
5,sgs,99,1.051695802477309,1.0515754862914692
5,rbf_bootstrap,99,1.289717226294482,1.2893812935437792
5,gp_mle,99,1.0158648261056413,1.0157566824806334
5,kriging,499,1.000267595275371,
5,sgs,499,1.0515813371587444,1.0515754862914692
5,rbf_bootstrap,499,1.2894258422584244,1.2893812935437792
5,gp_mle,499,1.015761841234185,1.0157566824806334
5,kriging,999,1.0002637881960865,
5,sgs,999,1.0515776512137132,1.0515754862914692
5,rbf_bootstrap,999,1.2894009233276273,1.2893812935437792
5,gp_mle,999,1.015757863383221,1.0157566824806334
1,kriging,199,1.4297100622783123,
1,sgs,199,1.5682084061823958,1.5681324134591657
1,rbf_bootstrap,199,1.8772506332737233,1.8770485650257724
1,gp_mle,199,1.5576383141401866,1.5576053227300202
1,kriging,99,1.4298125209755315,
1,sgs,99,1.568362276202227,1.5681324134591657
1,rbf_bootstrap,99,1.8775160331722076,1.8770485650257724
1,gp_mle,99,1.5577324508364347,1.5576053227300202
1,kriging,499,1.42967178587705,
1,sgs,499,1.568150409224838,1.5681324134591657
1,rbf_bootstrap,499,1.877118095935371,1.8770485650257724
1,gp_mle,499,1.5576113690999043,1.5576053227300202
1,kriging,999,1.4296620112524054,
1,sgs,999,1.5681390861290503,1.5681324134591657
1,rbf_bootstrap,999,1.8770801210587047,1.8770485650257724
1,gp_mle,999,1.557606883144779,1.5576053227300202
